

***** Start Trial #0 *****

Environment #89 Trial #2: SUCCESS
Environment #90 Trial #2: SUCCESS
Environment #91 Trial #2: SUCCESS
Environment #92 Trial #2: SUCCESS
Environment #93 Trial #2: SUCCESS
Environment #94 Trial #2: SUCCESS
Environment #95 Trial #2: SUCCESS
Environment #96 Trial #2: SUCCESS
Environment #97 Trial #2: SUCCESS
Environment #98 Trial #2: SUCCESS
Environment #99 Trial #2: SUCCESS
Environment #100 Trial #2: SUCCESS
Environment #101 Trial #2: SUCCESS
Environment #102 Trial #2: SUCCESS
Environment #103 Trial #2: SUCCESS
Environment #104 Trial #2: FAIL
Environment #105 Trial #2: SUCCESS
Environment #106 Trial #2: SUCCESS
Environment #107 Trial #2: FAIL
Environment #108 Trial #2: SUCCESS
Environment #109 Trial #2: SUCCESS
Environment #110 Trial #2: SUCCESS
Environment #111 Trial #2: SUCCESS
Environment #112 Trial #2: SUCCESS
Environment #113 Trial #2: SUCCESS
Environment #114 Trial #2: SUCCESS
Environment #115 Trial #2: SUCCESS
Environment #116 Trial #2: SUCCESS
Environment #117 Trial #2: SUCCESS
Environment #118 Trial #2: SUCCESS
Environment #119 Trial #2: SUCCESS
Environment #120 Trial #2: SUCCESS
Environment #121 Trial #2: SUCCESS
Environment #122 Trial #2: SUCCESS
Environment #123 Trial #2: SUCCESS
Environment #124 Trial #2: SUCCESS
Environment #125 Trial #2: SUCCESS
Environment #126 Trial #2: SUCCESS
Environment #127 Trial #2: SUCCESS
Environment #128 Trial #2: SUCCESS
Environment #129 Trial #2: SUCCESS
Environment #130 Trial #2: SUCCESS
Environment #131 Trial #2: SUCCESS
Environment #132 Trial #2: SUCCESS
Environment #133 Trial #2: FAIL

-----
SUCCESS: 127
ADDITIONAL SUCCESS: 15
FAIL: 7
TOTAL: 134
ACCURACY: 0.95
-----


***** End Trial #2 *****



***** Start Trial #3 *****

Environment #0 Trial #3: SUCCESS
Environment #1 Trial #3: SUCCESS
Environment #2 Trial #3: SUCCESS
Environment #3 Trial #3: SUCCESS
Environment #4 Trial #3: SUCCESS
Environment #5 Trial #3: SUCCESS
Environment #6 Trial #3: SUCCESS
Environment #7 Trial #3: SUCCESS
Environment #8 Trial #3: SUCCESS
Environment #9 Trial #3: SUCCESS
Environment #10 Trial #3: SUCCESS
Environment #11 Trial #3: SUCCESS
Environment #12 Trial #3: SUCCESS
Environment #13 Trial #3: SUCCESS
Environment #14 Trial #3: SUCCESS
Environment #15 Trial #3: SUCCESS
Environment #16 Trial #3: SUCCESS
Environment #17 Trial #3: SUCCESS
Environment #18 Trial #3: SUCCESS
Environment #19 Trial #3: SUCCESS
Environment #20 Trial #3: FAIL
Environment #21 Trial #3: SUCCESS
Environment #22 Trial #3: SUCCESS
Environment #23 Trial #3: SUCCESS
Environment #24 Trial #3: SUCCESS
Environment #25 Trial #3: SUCCESS
Environment #26 Trial #3: SUCCESS
Environment #27 Trial #3: SUCCESS
Environment #28 Trial #3: SUCCESS
Environment #29 Trial #3: SUCCESS
Environment #30 Trial #3: SUCCESS
Environment #31 Trial #3: SUCCESS
Environment #32 Trial #3: SUCCESS
Environment #33 Trial #3: SUCCESS
Environment #34 Trial #3: SUCCESS
Environment #35 Trial #3: SUCCESS
Environment #36 Trial #3: SUCCESS
Environment #37 Trial #3: SUCCESS
Environment #38 Trial #3: SUCCESS
Environment #39 Trial #3: SUCCESS
Environment #40 Trial #3: SUCCESS
Environment #41 Trial #3: SUCCESS
Environment #42 Trial #3: SUCCESS
Environment #43 Trial #3: SUCCESS
Environment #44 Trial #3: SUCCESS
Environment #45 Trial #3: SUCCESS
Environment #46 Trial #3: SUCCESS
Environment #47 Trial #3: SUCCESS
Environment #48 Trial #3: SUCCESS
Environment #49 Trial #3: SUCCESS
Environment #50 Trial #3: SUCCESS
Environment #51 Trial #3: SUCCESS
Environment #52 Trial #3: SUCCESS
Environment #53 Trial #3: SUCCESS
Environment #54 Trial #3: SUCCESS
Environment #55 Trial #3: SUCCESS
Environment #56 Trial #3: SUCCESS
Environment #57 Trial #3: SUCCESS
Environment #58 Trial #3: SUCCESS
Environment #59 Trial #3: SUCCESS
Environment #60 Trial #3: SUCCESS
Environment #61 Trial #3: SUCCESS
Environment #62 Trial #3: SUCCESS
Environment #63 Trial #3: SUCCESS
